,Diamonds SSE (left),Digits SSE (left)
2,-231250.76053278073,-100429.19697377706
3,-208283.88368425216,-93839.60449350416
4,-190188.95510784493,-89113.31473218353
5,-173515.7046345435,-85180.18859010603
6,-158986.72433327904,-81677.3203400937
7,-148978.4489739809,-78314.60135891565
8,-141913.6692353496,-75147.25984210394
9,-135479.69580890596,-72019.10528602489
10,-130659.9888448442,-69406.18594429421
15,-113138.73258592695,-60060.56355916323
20,-101358.10560663961,-54358.218390652386
25,-92857.3085254307,-48226.40977413094
30,-85783.40008879092,-44891.230131091026
35,-80733.24467226843,-42487.85753902864
40,-76284.9332931526,-40263.57180872753
45,-72607.9690963433,-38499.66027736965
50,-69346.48275717246,-37076.50270559494
55,-66925.68811545,-35453.22842395452
60,-64731.52042895685,-34372.77791853122
65,-62575.01139621742,-33418.866404997854
70,-60656.50389713359,-32594.181780394232
80,-57479.03474112617,-30823.190094404923
90,-54752.98898062829,-29804.71230549307
100,-52407.43595648215,-28462.832022687762
