,Digits SSE (left)
2,71941.20595009913
3,65632.63417141084
4,61316.43563234392
5,57606.88189076137
6,54026.6952254946
7,51341.36892141996
8,48877.378165075446
9,46446.220407600194
10,44825.69712011288
15,39857.721340448545
20,36721.74038879674
25,34551.79995979951
30,32812.60071859455
35,31290.17043261197
40,30360.037808104804
45,29286.460651352278
50,28299.751581756605
55,27288.01240760443
60,26800.566080894678
65,26120.184412039336
70,25496.98254317991
80,24453.61414473381
90,23621.499920936018
100,22857.11543086356
