,Digits log-likelihood
2,-30.436149797574192
3,-24.797959967673915
4,-21.449083913367303
5,-18.266947315508393
6,-16.05255321736467
7,-13.38894372855031
8,-11.089446527495273
9,-9.206777185849573
10,-7.1884815768506805
15,-1.3559050426618962
20,5.242020660049181
25,9.729958008741537
30,14.642257485428742
35,21.413284596133842
40,27.022430098137175
45,35.560182370985686
50,42.41161594384116
55,48.33529275309482
60,54.085516303707955
65,61.83122552448056
70,70.38018916360917
80,89.94603917888925
90,105.60645268779653
100,117.42162970228271
